,InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,gross_profit,invoice_date,invoice_time
141,C536379,D,Discount,-1,27.5,14527.0,United Kingdom,-27.5,2010-12-01,09:41:00
154,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,4.65,15311.0,United Kingdom,-4.65,2010-12-01,09:49:00
235,C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,1.65,17548.0,United Kingdom,-19.799999999999997,2010-12-01,10:24:00
236,C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,0.29,17548.0,United Kingdom,-6.959999999999999,2010-12-01,10:24:00
237,C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,0.29,17548.0,United Kingdom,-6.959999999999999,2010-12-01,10:24:00
238,C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,0.29,17548.0,United Kingdom,-6.959999999999999,2010-12-01,10:24:00
239,C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,3.45,17548.0,United Kingdom,-41.400000000000006,2010-12-01,10:24:00
240,C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,1.65,17548.0,United Kingdom,-19.799999999999997,2010-12-01,10:24:00
241,C536391,22553,PLASTERS IN TIN SKULLS,-24,1.65,17548.0,United Kingdom,-39.599999999999994,2010-12-01,10:24:00
939,C536506,22960,JAM MAKING SET WITH JARS,-6,4.25,17897.0,United Kingdom,-25.5,2010-12-01,12:38:00
1441,C536543,22632,HAND WARMER RED RETROSPOT,-1,2.1,17841.0,United Kingdom,-2.1,2010-12-01,14:30:00
1442,C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,0.85,17841.0,United Kingdom,-1.7,2010-12-01,14:30:00
1973,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,1.95,12472.0,Germany,-7.8,2010-12-01,14:33:00
1974,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,1.65,12472.0,Germany,-8.25,2010-12-01,14:33:00
1975,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2.95,12472.0,Germany,-2.95,2010-12-01,14:33:00
1976,C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,1.25,12472.0,Germany,-8.75,2010-12-01,14:33:00
1977,C536548,22654,DELUXE SEWING KIT ,-1,5.95,12472.0,Germany,-5.95,2010-12-01,14:33:00
1978,C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,9.95,12472.0,Germany,-19.9,2010-12-01,14:33:00
1979,C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,1.65,12472.0,Germany,-1.65,2010-12-01,14:33:00
1980,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,0.85,12472.0,Germany,-1.7,2010-12-01,14:33:00
1981,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,1.65,12472.0,Germany,-9.899999999999999,2010-12-01,14:33:00
1982,C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,1.95,12472.0,Germany,-1.95,2010-12-01,14:33:00
1983,C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,8.5,12472.0,Germany,-17.0,2010-12-01,14:33:00
1984,C536548,21218,RED SPOTTY BISCUIT TIN,-3,3.75,12472.0,Germany,-11.25,2010-12-01,14:33:00
